from,to,linkId,capacity
N01,N02,s1_124/ob,10752
N01,N04,s1_125/ob,9600
N01,N09,s1_128/ob,11520
N01,N11,s1_129/ob,7680
N01,N12,s1_130/ob,7296
N02,N04,s1_131/ob,21120
N02,N09,s1_133/ob,7680
N02,N12,s1_134/ob,768
N02,N10,s1_151/ob,3840
N03,N04,s1_135/ob,2688
N03,N08,s1_136/ob,2688
N04,N06,s1_138/ob,3456
N04,N05,s1_137/ob,14208
N04,N09,s1_140/ob,31872
N04,N08,s1_139/ob,16128
N04,N07,s1_152/ob,3840
N04,N39,s1_154/ob,5760
N04,N10,s1_153/ob,3648
N13,N05,s1_156/ob,5760
N13,N26,s1_155/ob,1920
N26,N39,s1_157/ob,1920
N05,N08,s1_141/ob,768
N05,N09,s1_142/ob,15744
N06,N08,s1_144/ob,768
N07,N12,s1_146/ob,1920
N08,N09,s1_147/ob,22656
N09,N11,s1_149/ob,13440
N09,N12,s1_158/ob,1920
N11,N12,s1_150/ob,3456
