articleuri,concepturi,conceptname
https://dev.to/lirantal/securing-a-nodejs--rethinkdb--tls-setup-on-docker-containers,http://www.wikidata.org/entity/Q82231,NoSQL database management system
https://dev.to/lirantal/securing-a-nodejs--rethinkdb--tls-setup-on-docker-containers,http://www.wikidata.org/entity/Q20890659,RethinkDB
https://dev.to/setevoy/neo4j-running-in-kubernetes-e4p,http://www.wikidata.org/entity/Q16834355,Cypher Query Language
https://dev.to/setevoy/neo4j-running-in-kubernetes-e4p,http://www.wikidata.org/entity/Q1628290,Neo4j
https://dev.to/divyanshutomar/introduction-to-redis-3m2a,http://www.wikidata.org/entity/Q2136322,Redis
https://dev.to/divyanshutomar/introduction-to-redis-3m2a,http://www.wikidata.org/entity/Q2063,JSON
https://dev.to/zaiste/15-git-commands-you-may-not-know-4a8j,http://www.wikidata.org/entity/Q186055,Git
https://dev.to/alexjitbit/removing-files-from-mercurial-history-1b15,http://www.wikidata.org/entity/Q186055,Git
https://dev.to/alexjitbit/removing-files-from-mercurial-history-1b15,http://www.wikidata.org/entity/Q476543,Mercurial
https://dev.to/alexjitbit/removing-files-from-mercurial-history-1b15,http://www.wikidata.org/entity/Q46794,Subversion
https://dev.to/michelemauro/atlassian-sunsetting-mercurial-support-in-bitbucket-2ga9,http://www.wikidata.org/entity/Q1186723,distributed revision control system
https://dev.to/michelemauro/atlassian-sunsetting-mercurial-support-in-bitbucket-2ga9,http://www.wikidata.org/entity/Q1461054,OpenJDK
https://dev.to/michelemauro/atlassian-sunsetting-mercurial-support-in-bitbucket-2ga9,http://www.wikidata.org/entity/Q186055,Git
https://dev.to/michelemauro/atlassian-sunsetting-mercurial-support-in-bitbucket-2ga9,http://www.wikidata.org/entity/Q476543,Mercurial
https://dev.to/shirou/back-up-prometheus-records-to-s3-via-kinesis-firehose-54l4,http://www.wikidata.org/entity/Q6108942,JSON-LD
https://dev.to/shirou/back-up-prometheus-records-to-s3-via-kinesis-firehose-54l4,http://www.wikidata.org/entity/Q2063,JSON
