origin,destination,distance
AAP,BOP,0.71
AAP,HRN,0.93
AAP,NSG,1.46
AAT,ACN,6.48
AAT,LCC,4.18
ABA,CMH,1.53
ABC,FRS,8.09
ABC,SCT,9.08
ABD,DYC,6.14
ABD,PLN,8.20
ABE,CPH,0.61
ABE,ECP,1.03
ABH,PNC,1.59
ABH,PWL,1.76
ABW,BVD,1.48
ABW,PLU,1.53
ABY,ADK,0.79
ABY,BLV,1.10
ABY,GTO,1.11
ABY,MCV,3.86
ACB,HTF,2.67
ACB,RUN,7.94
ACB,WBQ,9.65
ACC,SAT,0.69
ACC,WIJ,1.88
ACG,OLT,0.98
ACG,TYS,0.96
ACH,ACN,12.53
ACH,STC,5.53
ACK,ALM,3.99
ACK,WDD,5.29
ACL,GYM,7.91
ACL,LGD,2.45
ACN,AAT,6.48
ACN,ACH,12.53
ACR,CTW,0.84
ACR,HCT,1.70
ACT,BAG,3.13
ACT,MAO,2.29
ACT,SNG,2.11
ACY,PER,2.50
ACY,PPD,3.49
ACY,QYD,1.56
ADC,PRB,1.93
ADC,PYT,2.18
ADD,BHM,2.01
ADD,SCF,1.89
ADK,ABY,0.79
ADK,MAN,0.89
ADL,BLK,2.03
ADL,CRL,3.06
ADM,AYH,1.08
ADM,BKS,3.03
ADN,ADS,0.41
ADN,ASB,0.59
ADR,COA,0.88
ADR,DRU,1.50
ADS,ADN,0.41
ADV,GRT,6.38
ADV,WCH,7.18
ADW,BRC,2.63
ADW,WCL,1.73
AFK,CHG,6.10
AFK,EBD,33.55
AFK,HMT,5.53
AFK,PLC,5.68
AFK,WHA,8.08
AFK,WYE,4.28
AFS,FEL,2.69
AFS,SNS,1.53
AFV,LTM,1.24
AFV,SAS,1.94
AGL,CWB,6.10
AGL,RHL,4.28
AGS,BDG,1.23
AGS,GLC,0.38
AGT,HOV,0.48
AGT,PLD,0.99
AGV,HFD,23.99
AGV,PPL,9.30
AHD,EPS,2.03
AHD,LHD,1.80
AHN,MCV,6.30
AHN,SYB,1.21
AHS,CWN,2.78
AHS,ERI,3.56
AHT,AHV,2.54
AHT,ASH,2.81
AHT,FNH,3.06
AHV,AHT,2.54
AHV,BKO,4.51
AHV,FML,3.21
AIG,CSG,0.73
AIG,STM,1.38
AIN,OPK,0.93
AIN,ORN,0.91
AIR,HNC,2.27
AIR,MTH,0.76
ALB,COS,1.60
ALB,CSL,3.15
ALD,CEL,3.01
ALD,WML,1.64
ALF,CHD,10.16
ALF,LBO,24.48
ALF,LGM,6.33
ALK,BIN,2.19
ALK,ELO,1.83
ALM,ACK,3.99
ALM,CHT,11.18
ALN,BUU,2.96
ALN,NFA,3.06
ALO,STG,6.80
ALP,CWE,3.73
ALP,SCU,3.41
ALR,GRB,3.04
ALR,WIV,1.74
ALT,HAL,0.61
ALT,NVR,0.63
ALV,BTG,1.98
ALV,RDC,3.23
ALW,EAG,0.48
ALW,TEA,2.75
ALX,BHC,2.31
ALX,RTN,1.11
AMB,BLP,2.74
AMB,WTS,1.99
AMF,LLI,1.79
AMF,PTF,1.16
AML,EAL,1.44
AML,KPA,3.74
AML,PAD,4.20
AMR,CFO,2.05
AMR,GMN,5.18
AMT,MDG,1.95
AMT,THE,3.55
AMY,ARU,3.59
AMY,PUL,4.78
ANC,BTF,12.54
ANC,GRA,9.19
ANC,RAU,3.88
AND,EXG,0.51
AND,GLC,0.41
ANF,BEU,2.66
ANF,TTN,2.89
ANG,FOD,4.15
ANG,GBS,2.46
ANG,LIT,5.10
ANL,HYN,0.94
ANL,KVD,1.00
ANL,WES,1.50
ANN,DMF,15.51
ANN,GEA,8.10
ANS,FRE,2.86
ANS,HIL,1.49
ANZ,NWD,1.13
ANZ,PNW,0.40
AON,BTY,4.84
APB,GST,1.80
APB,PBL,2.24
APD,HMT,2.99
APD,RYE,6.80
APF,CHO,6.61
APF,CUM,1.01
APF,DID,2.08
APG,RID,1.68
APG,WOB,0.96
APP,KSW,10.68
APP,LGW,11.40
APS,HML,1.41
APS,KGL,2.14
APY,KLF,3.50
APY,SHY,3.09
ARB,CAN,6.13
ARB,MTS,14.12
ARD,CUA,3.13
ARD,TAI,13.59
ARG,BSL,3.41
ARG,MRR,4.71
ARL,BIW,4.25
ARL,HIT,4.99
ARM,BHG,2.45
ARM,BKR,2.43
ARN,GOS,3.20
ARN,SVR,2.35
ARR,BEV,2.95
ARR,HUT,5.06
ART,AUI,8.04
ART,GCH,10.61
ARU,AMY,3.59
ARU,FOD,2.28
ARU,LIT,3.23
ASB,ADN,0.59
ASB,SLT,0.79
ASB,WKB,4.65
ASC,CNM,7.25
ASC,WOP,11.29
ASC,WOS,14.75
ASF,GLQ,2.30
ASF,PPK,0.58
ASG,CRE,6.31
ASG,KDG,2.34
ASH,AHT,2.81
ASH,NCM,1.99
ASH,WAN,2.08
ASK,BIF,6.01
ASK,KBF,3.26
ASN,BFN,1.95
ASN,CHY,1.43
ASN,WYB,1.75
ASP,MRY,7.66
ASP,WGT,8.15
ASS,DIN,10.15
ASS,IGD,2.59
AST,DUD,1.39
AST,GVH,1.09
AST,SCF,2.95
AST,WTT,0.71
ASY,HAL,1.65
ASY,MOB,1.88
ATB,BEE,1.46
ATB,EMD,5.16
ATB,LBO,10.16
ATB,LGE,2.95
ATH,NUN,5.20
ATH,PSW,4.19
ATL,ECS,3.61
ATL,SPN,3.25
ATN,HGF,0.22
ATN,WKD,3.60
ATT,STC,2.33
ATT,STF,4.91
AUD,GRC,4.01
AUD,NWE,1.79
AUG,OMS,1.20
AUG,TWN,0.99
AUI,ART,8.04
AUI,CNR,8.71
AUK,KMK,13.75
AUK,NCK,7.54
AUR,BTS,2.70
AUR,DAG,2.85
AUW,CBY,3.70
AUW,SIP,1.29
AVF,BOA,1.33
AVF,FFD,0.91
AVM,CAG,6.48
AVM,KIN,11.99
AVN,PRI,0.84
AVN,SAR,0.91
AVN,SHH,1.40
AVP,AYS,2.50
AVY,PHG,0.93
AVY,TYW,3.61
AWK,BYK,2.35
AWK,SES,4.66
AWM,BDK,4.41
AWM,RYS,3.90
AWT,CAR,9.60
AWT,LZB,5.60
AXM,CKN,13.16
AXM,HON,10.19
AXP,BNL,0.94
AXP,DST,0.34
AYH,ADM,1.08
AYH,SWO,0.93
AYL,MDB,3.09
AYL,NHE,0.89
AYP,BXY,1.01
AYP,SID,0.94
AYR,MAY,8.96
AYR,NOA,1.20
AYS,AVP,2.50
AYS,LTK,4.34
AYS,SKM,2.21
AYW,BOW,4.30
BAA,BOG,3.59
BAA,CCH,6.28
BAA,FOD,2.68
BAB,HHE,3.94
BAB,TBD,4.54
BAC,CPU,3.73
BAC,CTR,1.44
BAD,BLM,1.48
BAD,EPD,1.46
BAG,ACT,3.13
BAG,CAM,3.29
BAH,BOT,0.69
BAH,SDL,0.66
BAI,CBS,0.70
BAI,EST,2.56
BAJ,BNF,1.75
BAJ,PTA,1.92
BAK,CLJ,1.45
BAK,VIC,1.24
BAK,WWR,0.70
BAL,MIJ,4.10
BAL,MTC,3.25
BAL,SRC,1.95
BAL,SRH,1.05
BAL,WSW,0.59
BAM,HOP,1.93
BAM,HSG,1.65
BAN,KGS,1.40
BAN,LMS,19.90
BAR,CNF,3.76
BAR,LAN,2.59
BAR,MCM,1.43
BAS,BFE,2.80
BAS,CSK,1.69
BAT,CWU,2.05
BAT,RBR,5.99
BAU,BAV,2.15
BAV,BAU,2.15
BAV,NHL,1.39
BAW,FNN,2.53
BAW,SND,1.54
BAY,CUF,3.49
BAY,HFN,2.90
BBG,GLQ,3.24
BBG,LNZ,3.01
BBK,CSL,0.51
BBK,WVH,3.99
BBL,OTF,1.60
BBL,SEV,1.18
BBN,DWN,4.15
BBN,MLH,1.20
BBN,RGW,2.85
BBN,RIS,2.76
BBS,BMO,0.80
BBS,SMA,1.03
BBW,HOY,1.08
BBW,LCK,1.07
BCB,HSC,1.51
BCB,NLN,1.23
BCC,BRP,4.56
BCC,OUS,6.35
BCE,MAO,1.02
BCE,WKM,4.33
BCF,HWY,4.86
BCF,SRG,1.56
BCG,RHI,0.51
BCG,TGS,0.60
BCH,HNB,7.98
BCH,WGA,1.74
BCJ,OMS,2.59
BCJ,RUF,2.91
BCK,HWD,2.09
BCK,PNF,1.16
BCN,DFR,1.39
BCN,IBM,1.18
BCS,HDM,12.96
BCS,KGS,12.44
BCU,BEU,4.75
BCU,LYT,4.88
BCU,SWY,2.74
BCV,SVS,0.76
BCV,WHL,0.79
BCY,HPA,1.04
BCY,NXG,0.80
BDA,BGA,0.96
BDA,BUC,2.15
BDA,LGD,2.20
BDB,DTG,2.15
BDB,HTY,1.03
BDG,AGS,1.23
BDG,DAK,0.50
BDH,CSA,3.36
BDH,HAV,0.66
BDH,HLS,3.36
BDI,LMR,2.85
BDI,NPD,3.76
BDK,AWM,4.41
BDK,LET,1.96
BDL,HIL,1.01
BDL,SOP,0.93
BDM,BSJ,0.75
BDM,FLT,9.63
BDM,WEL,15.25
BDN,SAB,2.72
BDN,SAN,1.75
BDQ,FZH,1.72
BDT,BEM,3.64
BDT,NFN,9.33
BDW,HGD,4.78
BDW,PEW,8.95
BDY,BNT,1.01
BDY,RML,1.04
BEA,DBL,2.11
BEA,STG,2.82
BEB,PSL,1.01
BEB,RFY,1.01
BEC,BGM,0.66
BEC,RVB,0.85
BEE,ATB,1.46
BEE,NOT,3.28
BEF,LES,3.39
BEF,PSE,2.61
BEG,PDW,1.81
BEG,YAL,1.61
BEH,BEP,3.00
BEH,CAA,2.64
BEL,INV,10.10
BEL,MOO,2.91
BEM,BDT,3.64
BEM,HUB,7.13
BEN,CPY,3.31
BEN,WNN,3.24
BEP,BEH,3.00
BEP,NUN,1.51
BER,CLV,3.25
BER,WMC,1.61
BES,MEC,3.03
BES,NLN,2.14
BET,CBH,0.64
BET,LST,1.14
BET,SRA,2.90
BEU,ANF,2.66
BEU,BCU,4.75
BEV,ARR,2.95
BEV,CGM,4.29
BEX,CLL,0.81
BEX,SLQ,3.90
BEY,BUW,2.24
BEY,ILK,0.96
BFD,KWB,0.99
BFD,SYL,0.78
BFE,BAS,2.80
BFE,SBV,4.16
BFF,RMB,4.66
BFN,ASN,1.95
BFN,WBY,1.28
BFN,WYB,1.25
BFR,CTK,0.37
BFR,EPH,1.21
BFR,LBG,1.13
BGA,BDA,0.96
BGA,NRW,4.83
BGD,BHD,1.35
BGD,GFF,0.61
BGE,EDG,1.86
BGE,ROB,1.59
BGE,WAV,1.00
BGG,BTB,3.61
BGG,KTL,6.21
BGH,DHN,3.25
BGH,HFX,5.25
BGH,MIR,4.00
BGH,SOW,5.50
BGI,BIO,1.82
BGI,KWD,0.86
BGL,LUX,2.06
BGL,ROC,2.46
BGM,BEC,0.66
BGM,CTF,0.88
BGN,LWM,9.39
BGN,PCD,3.81
BGN,PYL,5.93
BGN,WMI,0.81
BGS,CDY,0.84
BGS,PTG,0.93
BHC,ALX,2.31
BHD,BGD,1.35
BHD,TIR,1.11
BHG,ARM,2.45
BHG,LSN,3.00
BHI,HIA,1.94
BHI,MGN,1.71
BHK,EDR,1.26
BHK,ENF,0.78
BHM,ADD,2.01
BHM,DUD,1.45
BHM,FWY,0.91
BHM,HSD,5.59
BHM,KNN,7.18
BHM,SGB,3.91
BHM,SMA,3.21
BHM,SMR,3.21
BHM,WTO,7.86
BHO,STO,1.51
BHO,WMW,0.76
BHR,CIM,1.99
BHR,LLO,5.59
BHS,HOY,0.91
BHS,SSM,2.04
BIA,SHD,2.91
BIC,SNF,4.20
BIC,WIC,4.63
BID,BKN,0.98
BID,LSW,0.85
BID,UPT,1.80
BIF,ASK,6.01
BIF,ROO,1.85
BIG,CHH,4.80
BIG,PUL,5.10
BIK,BKJ,1.46
BIK,CYP,1.63
BIL,SEC,5.12
BIL,STK,4.33
BIN,ALK,2.19
BIN,RDF,3.40
BIO,BGI,1.82
BIO,MTV,0.75
BIP,NVH,1.44
BIP,SEF,0.88
BIS,SAW,3.63
BIS,SST,3.04
BIT,HDM,12.97
BIT,ISP,5.94
BIW,ARL,4.25
BIW,SDY,2.96
BIY,CFL,0.63
BIY,SAE,2.31
BKA,EFF,1.69
BKA,LHD,2.54
BKC,BKQ,0.53
BKC,GNL,0.44
BKD,HAG,1.73
BKD,KID,3.13
BKG,DDK,3.05
BKG,UPM,7.68
BKG,WEH,3.47
BKG,WGR,1.63
BKH,CTN,1.95
BKH,KDB,0.99
BKH,LEW,0.90
BKJ,BIK,1.46
BKJ,KTH,0.83
BKJ,NBC,0.50
BKJ,SRT,1.38
BKL,BMS,1.06
BKL,PET,1.80
BKL,SMY,2.76
BKM,HML,3.23
BKM,TRI,3.95
BKN,BID,0.98
BKN,BKP,0.88
BKN,WLV,1.64
BKO,AHV,4.51
BKO,FNB,5.21
BKO,WOK,3.66
BKP,BKN,0.88
BKP,CNP,0.48
BKQ,BKC,0.53
BKQ,CNP,0.72
BKQ,LVJ,1.18
BKR,ARM,2.43
BKR,CAC,6.00
BKS,ADM,3.03
BKS,CBE,2.93
BKT,BUL,0.84
BKT,SEN,2.49
BKW,HIA,3.28
BKW,THL,1.91
BLA,DLW,23.48
BLA,PIT,6.85
BLB,SOF,2.56
BLB,WIC,2.50
BLD,GSY,3.20
BLD,SHY,1.46
BLE,LDS,4.02
BLE,NPD,1.77
BLG,CAY,1.83
BLG,DST,0.56
BLG,HST,0.56
BLH,HLY,2.06
BLH,MTH,2.83
BLH,UDD,2.63
BLK,ADL,2.03
BLK,HWI,1.55
BLL,HDB,3.98
BLL,HWH,4.76
BLM,BAD,1.48
BLM,SUO,1.09
BLN,HLR,0.78
BLN,WLO,1.11
BLO,MCE,1.96
BLO,WYM,4.40
BLP,AMB,2.74
BLP,DFI,2.53
BLT,HNW,1.79
BLT,NTN,2.61
BLV,ABY,1.10
BLV,RRB,0.50
BLW,HKN,2.75
BLW,NOT,5.50
BLX,BWN,0.60
BLX,WSL,2.75
BLY,FEN,1.06
BLY,LBZ,6.46
BLY,MKC,3.15
BMB,LOH,1.13
BMB,PLS,5.15
BMC,BON,3.03
BMC,ENT,3.02
BMC,HID,1.36
BMD,ENL,1.06
BMD,PON,0.88
BME,CRV,2.76
BME,HPT,2.54
BMF,BUH,4.98
BMF,GBD,1.50
BMG,EML,1.74
BMG,MDE,2.41
BMH,BSM,2.61
BMH,POK,1.73
BML,CHU,1.56
BML,PYT,1.35
BMN,SUP,0.44
BMO,BBS,0.80
BMO,BSW,0.50
BMP,HWH,12.10
BMP,WRL,6.69
BMR,BOM,0.70
BMR,SPI,0.73
BMS,BKL,1.06
BMS,SRT,0.86
BMT,BRI,0.89
BMT,PSN,0.91
BMV,BTG,3.58
BMV,CNM,31.14
BMV,DTW,6.16
BMV,WOP,12.60
BMY,BSK,4.99
BMY,MOR,3.34
BNA,EDY,0.90
BNA,MAU,0.88
BNC,BRF,2.21
BNC,BUB,0.49
BND,LAK,3.85
BND,TTF,7.24
BNE,COO,1.55
BNE,MLW,2.68
BNF,BAJ,1.75
BNF,NTH,1.75
BNG,LLF,7.29
BNG,LPG,3.48
BNH,BXH,1.15
BNH,DFD,3.10
BNH,SGR,1.59
BNI,BNS,0.59
BNI,CHK,0.93
BNL,AXP,0.94
BNL,SPR,0.61
BNM,SLO,2.51
BNM,TAP,1.53
BNP,CPN,4.29
BNR,EBL,1.94
BNR,HEW,3.74
BNS,BNI,0.59
BNS,MTL,1.18
BNS,PUT,1.19
BNT,BDY,1.01
BNT,RDN,1.71
BNV,CPA,1.06
BNV,FTW,2.24
BNW,BOT,0.41
BNW,SFL,0.99
BNY,DOD,2.75
BNY,DRT,3.39
BNY,WOM,4.03
BOA,AVF,1.33
BOA,TRO,3.29
BOC,RAV,4.75
BOC,SIC,5.35
BOD,LOS,3.39
BOD,LSK,9.21
BOE,FRM,5.35
BOE,HDE,1.95
BOG,BAA,3.59
BOH,FSB,1.39
BOH,NUT,1.65
BOM,BMR,0.70
BOM,ERA,0.50
BON,BMC,3.03
BON,HID,1.67
BON,LOT,3.06
BON,MSS,1.16
BON,WHG,4.63
BOP,AAP,0.71
BOP,PAL,0.94
BOR,LPG,9.29
BOR,TYC,2.74
BOT,BAH,0.69
BOT,BNW,0.41
BOW,AYW,4.30
BOW,BRH,4.03
BPB,BPS,0.45
BPB,SQU,1.20
BPK,PBR,1.75
BPK,WMG,0.98
BPN,LAY,1.34
BPS,BPB,0.45
BPT,LGB,4.08
BPT,PYJ,4.18
BPW,FIT,1.43
BPW,PWY,1.30
BPW,SWI,34.49
BPW,YAE,6.25
BRA,DNO,4.40
BRA,HMS,10.90
BRC,ADW,2.63
BRC,FLD,2.13
BRE,HRO,3.20
BRE,SNF,2.00
BRF,BNC,2.21
BRF,NEL,1.24
BRG,KMS,2.63
BRG,WMA,5.13
BRH,BOW,4.03
BRH,DVY,8.33
BRI,BMT,0.89
BRI,KYN,4.60
BRI,LWH,1.03
BRK,GLY,4.46
BRK,PLG,4.14
BRL,GIR,12.25
BRL,STR,25.96
BRM,LLA,1.44
BRM,MFA,1.58
BRN,HLF,0.56
BRN,WES,1.18
BRO,RAN,15.60
BRO,UTY,7.59
BRP,BCC,4.56
BRP,HAS,4.01
BRR,DNL,9.06
BRR,NIT,1.59
BRS,NEM,1.19
BRS,SUR,1.08
BRT,SNE,2.54
BRT,WED,0.56
BRU,CLC,3.51
BRU,FRO,10.61
BRV,KNN,1.05
BRV,SLY,1.04
BRW,LVC,1.43
BRW,STM,1.17
BRX,DMK,1.11
BRX,HNH,0.51
BRX,KPA,5.41
BRX,VIC,3.18
BRY,BYD,1.18
BRY,BYI,0.80
BRY,RIA,3.27
BSB,FSK,1.83
BSB,THU,1.35
BSC,TAB,0.99
BSC,WSL,1.96
BSC,WVH,6.08
BSD,HBN,2.29
BSD,MDE,2.80
BSE,KNE,9.69
BSE,TRS,4.09
BSH,CPK,1.29
BSH,WFH,0.81
BSH,WFJ,1.45
BSI,BYF,1.55
BSI,MON,0.94
BSJ,BDM,0.75
BSJ,KMH,3.09
BSK,BMY,4.99
BSK,HOK,5.61
BSK,MIC,10.33
BSK,OVR,7.80
BSL,ARG,3.41
BSL,LCL,4.78
BSM,BMH,2.61
BSM,PKS,1.31
